,CAND_NAME,CAND_OFFICE_ST,TTL_DISB
1105,"QUIGLEY, MIKE",IL,856640.42
1106,"BOWMAN, RALEIGH",IL,6297.67
1107,"HUYNH, KHAI-HOAN DAC",IL,74537.38
1108,"SCHWARTZBERG , STEVE J",IL,0.0
1109,"MCGONIGAL, MALGORZATA",IL,20018.82
1110,"HANSON, TOMMY",IL,26617.42
1111,"HUGHES, CHARLES M",IL,4468.11
1112,"MARSHALL, ROBERT",IL,6100.0
1113,"COOLIDGE, LESLIE ANNE",IL,0.0
1114,"NEWMAN, MARIE",IL,1690798.2
1115,"MAZESKI, KELLY",IL,0.0
1116,"CASTEN, SEAN",IL,5798234.49
1117,"IVES, JEANNE",IL,24016.47
1118,"CRUZ, ROBERT 'ROB'",IL,162526.76
1119,"CONFORTI, NIKI",IL,75509.18
1120,"PEKAU, KEITH",IL,1475063.63
1121,"GRASSO, GARY",IL,632673.13
1122,"KASPAR, SCOTT RICHARD",IL,268040.01
1123,"COLLINS, KINA ISIS",IL,6489.36
1124,"SCHANBACHER, KRISTINE",IL,3025.5
1125,"DAVIS, DANNY K. MR.",IL,699813.13
1126,"AHMED, JUNAID",IL,1566113.43
1127,"FAHEEM, MOHAMMED",IL,9895.28
1128,"KRISHNAMOORTHI, S. RAJA",IL,5410970.09
1129,"KOPSAFTIS, PETER",IL,82713.59
1130,"DARGIS, CHRISTOPHER BRYANT",IL,542959.18
1131,"WOOD, PHILLIP OWEN",IL,41636.18
1132,"KOPPIE, CHAD",IL,5542.0
1133,"MCSWEENEY, DAVID",IL,20.0
1134,"T. HELDUT, ANDREW",IL,0.0
1135,"SCHAKOWSKY, JANICE D",IL,1369477.61
1136,"RICE, MAXWELL",IL,5840.0
1137,"SANGARI, SARGIS",IL,0.0
1138,"SUMPTION, MILTON J",IL,0.0
1139,"SCHNEIDER, BRADLEY S.",IL,5400833.88
1140,"RODKIN ROTERING, NANCY",IL,0.0
1141,"DOLD, ROBERT JAMES JR",IL,7500.0
1142,"MUKHERJEE, VALERIE RAMIREZ",IL,65460.74
1143,"SEVERINO, JOSEPH",IL,21919.63
1144,"BENNETT, DOUGLAS R 1963",IL,0.0
1145,"FOSTER, G. WILLIAM (BILL)",IL,6186317.77
1146,"LAIB, RICK",IL,867.55
1147,"BANSAL, KRISHNA K",IL,1339.9
1148,"MILLER, CASSANDRA TANNER",IL,1310.32
1149,"EVANS, JERRY",IL,179832.59
1150,"GREEN, GRACE KELLY MS.",IL,2001.0
1151,"CARROLL, MARK JOSEPH",IL,47407.79
1152,"HATHAWAY-ALTMAN, SUSAN",IL,501.36
1153,"PIERCE, MICHAEL DAVID",IL,0.0
1154,"LAUF, CATALINA",IL,2712475.96
1155,"ROBBINS, CRAIG",IL,350.0
1156,"KHOURI, TONIA",IL,1830.0
1157,"LENZI, RAYMOND CARL DR.",IL,0.0
1158,"MARKEL, HOMER CHIP MR.",IL,62591.97
1159,"COSTELLO, JERRY F",IL,146517.35
1160,"BOST, MICHAEL",IL,1646029.5
1161,"PALMER, DAVID",IL,212508.44
1162,"BUDZINSKI, NIKKI",IL,3855687.07
1163,"LONDRIGAN, BETSY DIRKSEN",IL,60593.95
1164,"REISING, JESSE",IL,546738.03
1165,"DEERING, REGAN",IL,2087421.57
1166,"HAUSMAN, MATT",IL,106145.86
1167,"MARTIN, TERRY",IL,7845.0
1168,"UNDERWOOD, LAUREN",IL,6379384.34
1169,"QUIGLEY, MATTHEW MARK MR.",IL,889.37
1170,"MALOUF, DANIEL",IL,0.0
1171,"REZIN, SUE",IL,9022.78
1172,"KOOLIDGE, MICHAEL",IL,209427.87
1173,"GRYDER, SCOTT",IL,638043.61
1174,"STARRETT, SUSAN",IL,15347.0
1175,"MLTON, JAIME",IL,6817.5
1176,"LOMBARDI, JACK MR II",IL,187919.29
1177,"LAUZEN, CHRIS",IL,20.16
1178,"OBERWEIS, JIM",IL,91626.69
1179,"MARTER, JAMES THOMAS",IL,140046.27
1180,"WILSON, BARRY",IL,6066.14
1181,"WEAVER, ERIKA C",IL,729.61
1182,"LANGE, PAUL",IL,46211.8
1183,"GAITHER, KEVIN",IL,0.0
1184,"MILLER, MARY",IL,1782021.03
1185,"WOLFF, KERRY ALLEN",IL,0.0
1186,"DUNCAN, DARREN",IL,10.0
1187,"DAVIS, RODNEY L",IL,4049789.15
1188,"SHIMKUS, JOHN M",IL,105069.96
1189,"MCCARTER, KYLE",IL,0.0
1190,"BRZOZOWSKI, DANI",IL,16785.56
1191,"HADERLEIN, ELIZABETH",IL,38117.98
1192,"MOHAMMAD, NEILL DR.",IL,0.0
1193,"KINZINGER, ADAM",IL,1710182.88
1194,"KOPROWSKI, GENE REV.",IL,0.0
1195,"REBRESH, MICHAEL STEPHAN MR",IL,14770.09
1196,"PETERS, WALT",IL,21545.71
1197,"LAHOOD, DARIN MCKAY",IL,2881032.95
1198,"WILLIAMS, MARSHA VIRIGINIA",IL,32745.08
1199,"BUSTOS, CHERI",IL,522970.7
1200,"NORMOYLE, ANGELA H.",IL,214206.61
1201,"LOGEMANN, JONATHAN",IL,424752.61
1202,"WALLACE, LITESA",IL,199258.75
1203,"SORENSEN, ERIC",IL,2995772.81
1204,"MCGOWAN, JACQUELINE MARIE",IL,27094.29
1205,"KING, ESTHER JOY",IL,4919259.4
1206,"SWANSON, MICHAEL A",IL,3863.67
1207,"RIENTS, DONALD",IL,0.0
1208,"SCHOCK, AARON JON MR.",IL,0.0
1209,"MCDERMOTT, THOMAS",IN,1360464.26
1210,"HARPER, JAMES",IN,55498.65
1211,"MRVAN, FRANK J.",IN,2498548.46
1212,"BOROM, MELISSA",IN,0.0
1213,"VISCLOSKY, PETER J.",IN,10779.22
1214,"GREEN, JENNIFER-RUTH",IN,3397372.41
1215,"RUIZ, DAVID BEN",IN,1834.37
1216,"MILO, BLAIR",IN,282229.51
1217,"MARKS, ELLEN L.",IN,2235.18
1218,"STEURY, PAUL MR.",IN,92955.31
1219,"HALL, MEL",IN,54735.0
1220,"HACKETT, MARY PATRICIA",IN,16953.22
1221,"WALORSKI SWIHART, JACKIE",IN,1039909.05
1222,"NISLY, CURT",IN,16558.0
1223,"YAKYM, RUDY",IN,801287.55
1224,"COLDIRON, CHIP WINTER MR.",IN,462.21
1225,"STEPHENS, JOHN MATTHEW MR.",IN,15946.7
1226,"BOWER, FORREST ANTHONY",IN,0.0
1227,"SNYDER, GARY",IN,73224.46
1228,"BANKS, JAMES E HON.",IN,1674926.42
1229,"GOTSCH, NATHAN",IN,149578.66
1230,"MACKEY, JOSEPH",IN,1592.97
1231,"ROKITA, THEODORE EDWARD",IN,14514.38
1232,"BOOKWALTER, THOMAS CHARLES",IN,500.0
1233,"BAIRD, JAMES R DR.",IN,281365.93
1234,"HALE, CHRISTINA",IN,5520.28
1235,"JACOBS, ANDREW JAMES JR.",IN,0.0
1236,"HALL, MATT",IN,50058.1
1237,"THORNTON, DIERDRE",IN,11791.38
1238,"CHRISTIE, JENNIFER",IN,0.0
1239,"LEE LAKE, JEANNINE",IN,41196.98
1240,"BECKWITH, MICAH",IN,7910.62
1241,"HENDERSON, BETH ELAINE",IN,14937.7
1242,"SPARTZ, VICTORIA",IN,2545142.64
1243,"BRIZZI, CARL JOSEPH",IN,0.0
1244,"BROOKS, SUSAN MRS.",IN,322085.2
1245,"BURTON, DANNY L",IN,14591.0
1246,"TEETERS, BARTON WAYNE",IN,100.0
1247,"WIRTH, CYNTHIA",IN,38910.21
1248,"BATES, DON JR",IN,0.0
1249,"LAMB, JONATHAN M.",IN,0.0
1250,"PENCE, GREGORY J.",IN,2325751.08
1251,"CARSON, ANDRE",IN,1067853.5
1252,"JOHNSON, RUSSELL (RUSTY) SCOTT MR.",IN,1420.59
1253,"GRABOVSKY, ANGELA",IN,498270.15
1254,"ALLEN, BILL",IN,36000.0
1255,"MARSILI, THOMASINA",IN,254.43
1256,"MCCORMICK, RAY",IN,137353.27
1257,"DRAKE, RON",IN,121.0
1258,"BUCSHON, LARRY D.",IN,1114545.79
1259,"RUFF, ANDY",IN,13389.45
1260,"FYFE, MATTHEW JOHN",IN,117102.72
1261,"COLE, JONATHON DALE",IN,79.81
1262,"NTI ASARE, ISAK",IN,24424.34
1263,"WATSON, LIZ",IN,9699.52
1264,"YOUNG, TODD CHRISTOPHER",IN,9618042.78
1265,"BAKER, JIM",IN,84181.21
1266,"SODREL, MICHAEL E",IN,1038316.28
1267,"BARNES-ISRAEL, STU",IN,477148.73
1268,"DAVISSON, J. MICHAEL",IN,6520.0
1269,"HEIWIG, DANIEL",IN,44888.56
1270,"SCHANSBERG, ERIC",IN,28915.0
1271,"HOUCHIN, ERIN",IN,926873.02
1272,"WALTZ, DARRYL BRENT JR",IN,0.0
1273,"PFAFF, JAMES R",IN,0.0
1274,"HOLLINGSWORTH, TREY",IN,364382.47
1275,"MILLIS, TONYA LYNN",IN,9958.95
1276,"BARNETT, KALI",KS,10191.91
1277,"DAVIS, CHRISTY",KS,1142.39
1278,"BEARD, JAMES KENNETH",KS,17313.35
1279,"MANN, TRACEY ROBERT",KS,383704.3
1280,"CLIFFORD, BILL DR",KS,52528.16
1281,"WAYMASTER, TROY",KS,0.0
1282,"HUELSKAMP, TIMOTHY A REP.",KS,2294.34
1283,"DE LA ISLA, MICHELLE",KS,14117.78
1284,"SCHMIDT, PATRICK",KS,1105910.77
1285,"LATURNER, JAKE",KS,1173487.81
1286,"TYSON, CARYN",KS,0.0
1287,"WATKINS, STEVEN C. JR.",KS,6250.0
1288,"DAVIDS, SHARICE",KS,8257092.48
1289,"YODER, KEVIN",KS,14152.24
1290,"WEIR, SARA HART",KS,9009.5
1291,"ADKINS, AMANDA",KS,3875948.35
1292,"FOSTER, ADRIENNE",KS,2550.62
1293,"MCCAUGHREAN, JOHN",KS,11711.42
1294,"HERNANDEZ, BOB MR",KS,30604.64
1295,"LOMBARD, LAURA",KS,6275.95
1296,"POMPEO, MICHAEL R",KS,167882.13
1297,"ESTES, RON",KS,1716678.06
1298,"WALZ-ALLEN, MIRANDA",KS,0.0
1299,"AUSBROOKS, JIMMY CLIFTON",KY,7866.73
1300,"WALKER, PAUL",KY,1554.28
1301,"COMER, JAMES",KY,949805.39
1302,"COMPTON, WILLIAM DAKOTA",KY,853.89
1303,"LINDERMAN, HANK",KY,77491.84
1304,"HENNING, CHRISTOPHER LEE MR.",KY,2913.57
1305,"WATTS, LEE",KY,56220.69
1306,"GUTHRIE, S. BRETT HON.",KY,2156774.23
1307,"PERRY, ROBERT LEE",KY,56.0
1308,"SCOTT, ATTICA WOODSON",KY,240509.3
1309,"MCGARVEY, MORGAN",KY,2791451.25
1310,"YARMUTH, JOHN",KY,239506.06
1311,"PALAZZO, RHONDA RAYE",KY,10040.85
1312,"RAY, STUART N.",KY,621240.64
1313,"PUCCETTI, GREGORY PETER",KY,18318.73
1314,"CRAVEN , MIKE",KY,110758.91
1315,"GLISSON, VICKIE YATES BROWN",KY,10419.61
1316,"OWENSBY, ALEXANDRA DR.",KY,4754.11
1317,"LEHMAN, MATTHEW",KY,297682.51
1318,"HALL, SETH BLANE",KY,0.0
1319,"MASSIE, THOMAS H.",KY,976631.31
1320,"WIRTH, CLAIRE",KY,461113.41
1321,"HALBLEIB, CONOR",KY,19102.59
1322,"ROGERS, HAROLD DALLAS",KY,893199.29
1323,"VAN DAM, RICHARD JACOB DR.",KY,40384.66
1324,"SERRANO, GERARDO",KY,57850.94
1325,"HICKS, JOSH",KY,2893.59
1326,"PREECE, CHRISTOPHER",KY,33285.74
1327,"YOUNG, GEOFFREY M",KY,239130.65
1328,"MCGRATH, AMY",KY,712.36
1329,"BARR, GARLAND ANDY",KY,2060477.65
1330,"CRAVENS, MAURICE RANDALL, II",KY,4505.73
1331,"DARLING, KATIE DARLING",LA,150572.91
1332,"SAVOIE, TAMMY MARIE DR",LA,0.0
1333,"SCALISE, STEVE MR",LA,19967864.23
1334,"CHAMBERS, GARY JR.",LA,1806620.0
1335,"PETERSON, KAREN CARTER",LA,1413538.73
1336,"CARTER, TROY A. SR.",LA,3050577.52
1337,"ONTIVEROS, DESIREE",LA,50695.84
1338,"JOHN, HAROLD MR. SR.",LA,23349.19
1339,"RICHMOND, CEDRIC L",LA,559256.13
1340,"LIRETTE, GREGORY",LA,65162.07
1341,"ARDOIN, CHELSEA",LA,11153.01
1342,"BERNARD, CLASTON",LA,196217.39
1343,"VINCENT, SHELDON CHARLES H2LA02263 SR.",LA,1332.33
1344,"LUX, DANIEL ANTHONY",LA,36052.27
1345,"MORENO, HELENA",LA,0.0
1346,"HARRIS, BRAYLON",LA,0.0
1347,"GRANGER, DUSTIN",LA,46559.61
1348,"LEBRUN, TIA MARIE MRS.",LA,38594.4
1349,"RADER, LARRY",LA,8925.0
1350,"PAYNE, THOMAS LANE JR",LA,17429.1
1351,"HOGGATT, ""HOLDEN""",LA,200873.44
1352,"ANGELLE, SCOTT MR.",LA,0.0
1353,"HIGGINS, CLAY CAPTAIN",LA,1075223.34
1354,"MILKOVICH, JOHN CHARLES",LA,0.0
1355,"JONES JR, J MARSHALL",LA,0.0
1356,"TRUNDLE, RYAN",LA,3324.52
1357,"JOHNSON, JAMES MICHAEL",LA,1152960.96
1358,"CHRISTOPHE, SANDRA",LA,56574.7
1359,"LEMELLE, MARTIN",LA,678.75
1360,"SNOWDEN, PHILLIP",LA,0.0
1361,"HUFF, WALTER EARL",LA,10431.88
1362,"ROBINSON, RANDALL SCOTT",LA,4447.41
1363,"HARRIS, JOHN LANCE",LA,6000.7
1364,"LETLOW, LUKE JOSHUA",LA,91064.85
1365,"LETLOW, JULIA",LA,1986705.17
1366,"CONERLY, CHAD",LA,57713.22
1367,"SMITH, SANCHA",LA,21293.3
1368,"RISER, HARTWELL NEIL JR",LA,0.0
1369,"MCALLISTER, VANCE MICHAEL",LA,0.0
1370,"GUILLORY, JOSHUA S",LA,46106.4
1371,"THOMAS, CHARLES 'TREY' DR III",LA,0.0
1372,"GRAVES, GARRET",LA,1386339.7
1373,"WHITNEY, LENAR",LA,0.0
1374,"MORSE, ALEX",MA,86369.31
1375,"NEAL, RICHARD E MR.",MA,2324305.46
1376,"MARTILLI, DEAN",MA,19491.64
1377,"BECH, NATHAN ALEXANDER",MA,0.0
1378,"MCGOVERN, JAMES P. MR.",MA,952303.37
1379,"SOSSA-PAQUETTE, JEFF",MA,135092.65
1380,"POWERS, KEVIN WILLIAM",MA,0.0
1381,"LOVVORN, TRACY LYN",MA,0.0
1382,"KOH, DANIEL ARRIGG",MA,6994.62
1383,"TRAHAN, LORI",MA,1358753.78
1384,"MATIAS, JUANA",MA,2720.0
1385,"L'ITALIEN, BARBARA",MA,0.0
1386,"TRAN, DEAN",MA,158145.09
1387,"GREEN, RICK",MA,200.0
1388,"LECKEY, IHSSANE",MA,23204.98
1389,"GROSSMAN, REBECCA WALKER",MA,13468.84
1390,"KHAZEI, ALAN",MA,48020.83
1391,"MERMELL, JESSE",MA,22287.06
1392,"AUCHINCLOSS, JAKE",MA,1071447.44
1393,"ZANNETOS, CHRISTOPHER",MA,42.12
1394,"ROBINSON, HERB",MA,30.0
1395,"HALL, JULIE",MA,31751.88
1396,"BURNS, EMILY",MA,368666.42
1397,"CLARK, KATHERINE",MA,2245379.96
1398,"STOPA, MICHAEL P",MA,4600.0
1399,"COLARUSSO, CAROLINE",MA,6805.57
1400,"COLARUSSO, CAROLINE",MA,106347.0
1401,"BELSITO, JAMIE MARIE ZAHLAWAY",MA,0.0
1402,"MOULTON, SETH",MA,1558931.5
1403,"MORAN, JOHN PAUL",MA,6146.58
1404,"MAY, ROBERT",MA,40158.55
1405,"SCHNEIDER, JOSEPH",MA,0.0
1406,"TASHJIAN, MARK MR.",MA,67413.57
1407,"PRESSLEY, AYANNA",MA,1562623.62
1408,"DAR, MOHAMMAD",MA,3031.32
1409,"GOLDSTEIN, ROBBIE",MA,1650.22
1410,"LYNCH, STEPHEN",MA,802096.03
1411,"KENNEDY, JOSEPH P II",MA,350887.64
1412,"RODRIGUES, HAMILTON SOARES",MA,35066.72
1413,"SYLVIA, MARK",MA,5436.01
1414,"KEATING, WILLIAM R",MA,1215489.27
1415,"ELLIS, GRANT SMITH",MA,2080.0
1416,"BRADY, HELEN",MA,4497.89
1417,"LITTLES, MARK",MA,72966.9
1418,"BROWN, JESSE",MA,333992.21
1419,"SULLIVAN, DAN",MA,59867.39
1420,"CHAPMAN, JOHN C",MA,0.0
1421,"SHORES, DANIEL L",MA,0.0
1422,"TEDESCHI, PETER D. MR.",MA,0.0
1423,"MASON, MIA",MD,19.6
1424,"MIZEUR, HEATHER RENAY",MD,2765613.1
1425,"HARDEN, R. DAVID",MD,401684.52
1426,"COLOMBO, MALCOLM THOMAS",MD,1589.41
1427,"COLVIN, JESSE",MD,16298.26
1428,"HARRIS, ANDREW P",MD,2136248.38
1429,"PIPKIN, E J",MD,0.0
1430,"RUPPERSBERGER, C. A. DUTCH",MD,1328052.46
1431,"OLIVER, BRITTANY T",MD,46657.28
1432,"DENT, MARQUES MR.",MD,5051.7
1433,"CROOM, GEORGE",MD,9914.66
1434,"CARDARELLI, MARCELO GABRIEL",MD,0.0
1435,"SALLING, JOHNNY RAY MR.",MD,1524.6
1436,"FLOWERS, BERNARD",MD,30750.58
1437,"MCNULTY, ELLEN EJ",MD,15244.45
1438,"AMBROSE, NICOLEE",MD,499787.1
1439,"GEPPI, MIKE",MD,0.0
1440,"WALLACE, DAVID DRAIN II",MD,84039.33
1441,"MATORY, LIZ",MD,0.0
1442,"SARBANES, JOHN P. MR.",MD,728966.03
1443,"PRETOT, JAKE",MD,0.0
1444,"MORGAN, YURIPZY",MD,491772.77
1445,"PITOCCO, ANTONIO",MD,36638.59
1446,"GRIFFIN, LANCE ALAN",MD,17220.21
1447,"TORRES, AMAL",MD,36575.5
1448,"LASHAR, JAMES DAVID",MD,5220.65
1449,"IVEY, GLENN",MD,1722956.69
1450,"LEWIS, JAZZ",MD,316689.99
1451,"ANGEL, ANGELA",MD,15972.79
1452,"EDWARDS, DONNA F",MD,1150817.59
1453,"ALLISON, TAMMY",MD,0.0
1454,"EDWARDS, DONNA FERN",MD,1150817.59
1455,"BROWN, ANTHONY",MD,642438.37
1456,"WARNER, JEFF",MD,57027.05
1457,"LOEB, ERIC",MD,3211.68
1458,"URBINA, BRIANA",MD,201.73
1459,"HOYER, STENY",MD,3992973.11
1460,"BYRD, COLIN",MD,18441.85
1461,"WILKES, MCKAYLA NICOLLETTE",MD,184574.39
1462,"WASHINGTON, KEITH A",MD,8603.94
1463,"HAVIS, LEE",MD,882.41
1464,"PALOMBI, CHRISTOPHER",MD,64613.21
1465,"FADDIS, CHARLES",MD,0.0
1466,"DELANEY, JOHN K",MD,11103.81
1467,"SMILOWITZ, BENJAMIN",MD,99234.7
1468,"TRONE, DAVID",MD,10097190.51
1469,"MILLER, ARUNA",MD,280672.47
1470,"PARROTT, NEIL CONRAD",MD,1132920.92
1471,"BRINKLEY, DAVID ROSS",MD,12.0
1472,"JENKINS, JONATHAN JENKINS",MD,25830.48
1473,"FOLDI, MATTHEW",MD,253291.82
1474,"ROCA, MARIELA",MD,93677.89
1475,"BLACK, COLT MORNINGSTAR",MD,0.0
1476,"HOEBER, AMIE",MD,0.0
1477,"HILL, TERRI LYNN",MD,3692.6
1478,"JALISI, JAY",MD,0.0
1479,"MFUME, KWEISI",MD,298170.37
1480,"MATORY, LIZ",MD,0.0
1481,"KLACIK, KIMBERLY",MD,581343.34
1482,"IVEY, AMBER",MD,0.0
1483,"RASKIN, JAMIE",MD,2802921.06
1484,"RUBIN, JOEL MARTIN",MD,0.0
1485,"COLL, GREGORY THOMAS",MD,17756.65
1486,"MATORY, LIZ",MD,0.0
1487,"SHUDOFSKY, ARYEH",MD,0.0
1488,"PINGREE, CHELLIE M",ME,601693.83
1489,"ALLEN, JAY THOMAS",ME,9731.39
1490,"THELANDER, EDWIN F MR.",ME,422570.93
1491,"CAIN, EMILY",ME,0.0
1492,"GOLDEN, JARED",ME,6107762.21
1493,"BRAKEY, ERIC",ME,5673.07
1494,"BENNETT, ADRIENNE",ME,2097.74
1495,"CRAFTS, DALE",ME,3666.96
1496,"PERKINS, MICHAEL HONORABLE",ME,58709.54
1497,"STEWART, HAROLD III",ME,8752.5
1498,"CARUSO, ELIZABETH",ME,46070.0
1499,"POLIQUIN, BRUCE",ME,3547585.01
1500,"JOYCE, SEAN MICHAEL",ME,0.0
1501,"FERGUSON, DANA",MI,0.0
1502,"LORINSER, ROBERT JAMES",MI,540562.69
1503,"ALLEN, JASON EDWARD",MI,0.0
1504,"BERGMAN, JOHN",MI,1918969.73
1505,"HILLIARD, JEROME C",MI,30655.33
1506,"NORTON, THOMAS JOHN",MI,298046.85
1507,"MOOLENAAR, JOHN MR.",MI,2302519.28
1508,"COLVIN, NICK",MI,553.69
1509,"SCHOLTEN, HILLARY",MI,3745295.14
1510,"RAFI, EMILY E",MI,2800.0
1511,"AFENDOULIS, LYNN",MI,0.0
1512,"MEIJER, PETER MR.",MI,3108455.24
1513,"JOHNSON, AUDRA",MI,21612.59
1514,"LEMONS-JOHNSON, AUDRA MRS.",MI,21612.59
1515,"MANOLACHE, GABRIELLA",MI,11025.62
1516,"GIBBS, JOHN",MI,1656730.21
1517,"AMASH, JUSTIN",MI,15288.67
1518,"FEIG, ANTHONY DEAN DR.",MI,46172.12
1519,"ALFONSO, JOSEPH",MI,35358.73
1520,"HUIZENGA, WILLIAM P",MI,3230080.13
1521,"CARRA, STEPHEN",MI,277301.27
1522,"GOLDBERG, BARTLEY F.",MI,161446.95
1523,"LACKIE, EARL PATRICK MR.",MI,6517.62
1524,"SCOTT, EZRA MR.",MI,10582.75
1525,"O'DONNELL, SHERRY ANNE DR",MI,245292.44
1526,"HOADLEY, JON",MI,19911.09
1527,"RICHARDSON, JENNIFER",MI,0.0
1528,"DINGELL, DEBBIE",MI,1599861.37
1529,"SOLIS, JERRY",MI,11032.77
1530,"ROCHA, JON",MI,11373.57
1531,"JOHNSEN, GINA",MI,345.0
1532,"WILLIAMS, WHITTNEY",MI,11777.41
1533,"KOLANAGIREDDY, HIMA",MI,311814.45
1534,"UPTON, FREDERICK STEPHEN",MI,1404023.84
1535,"SLOTKIN, ELISSA",MI,11412393.58
1536,"BARRETT, THOMAS MORE",MI,2811480.34
1537,"HAGG, JACOB",MI,168499.03
1538,"WALBERG, TIMOTHY L REP",MI,1187227.55
1539,"KILDEE, DANIEL T DANIEL T.",MI,6362855.56
1540,"DETMER, MIKE",MI,2973.95
1541,"JUNGE, PAUL",MI,3016157.81
1542,"SEELY, MATTHEW",MI,592268.2
1543,"BISHOP, MIKE",MI,1421.73
1544,"JAYE, BRIAN STEVEN",MI,47153.38
1545,"LEVIN, SANDER M MR",MI,5993.04
1546,"GROSSBARD, GAVRIEL",MI,86870.17
1547,"DONOVAN, MICHELLE R.E.",MI,7873.08
1548,"ARRAF, HUWAIDA",MI,533029.17
1549,"ROGENSUES, ANGELA",MI,341350.84
1550,"YANEZ, HENRY",MI,129094.98
1551,"MARLINGA, CARL",MI,1029973.61
1552,"POWELL, RHONDA",MI,37305.45
1553,"SLOCUM, DOUG",MI,1312.3
1554,"MCCLAIN, LISA",MI,386134.24
1555,"HERNANDEZ, SHANE",MI,147.7
1556,"SINGH, BISHAM DR.",MI,7589.48
1557,"MARCINKEWCIZ, TONY I",MI,14661.74
1558,"JAMES, JOHN",MI,5945665.95
1559,"ESSHAKI, ERIC",MI,273849.98
1560,"MITCHELL, PAUL III",MI,34156.17
1561,"FORLINI, ANTHONY G.",MI,0.0
1562,"LEVIN, ANDY",MI,3349310.13
1563,"STEVENS, HALEY",MI,5627180.98
1564,"ESSHAKI, ERIC",MI,7134.88
1565,"GRECO, CARMELITA",MI,508.59
1566,"LOTT, CHERIE",MI,14858.65
1567,"BENTIVOLIO, KERRY",MI,2.8
1568,"DENOTTER, MATTHEW",MI,376224.72
1569,"BITTERMAN, JOSH",MI,120457.0
1570,"AMBROSE, MARK",MI,668345.01
1571,"WOODDELL, MICHELLE",MI,98450.0
1572,"WINFREY, JANICE MARIE",MI,414590.21
1573,"GARRETT, MYKALE",MI,305876.35
1574,"TLAIB, RASHIDA",MI,3397616.61
1575,"HOOPER, JAMES D",MI,2214.75
1576,"NEHME, HASSAN H",MI,19163.89
1577,"ELLIOTT, STEVEN",MI,256333.96
1578,"JONES, JEFF",MI,0.0
1579,"TONON, ADRIAN LINO",MI,363367.23
1580,"THANEDAR, SHRI",MI,9043842.42
1581,"GRIFFIE, MICHAEL",MI,432600.3
1582,"GODBEE, RALPH L. REV. JR.",MI,52722.58
1583,"HOLLIER, ADAM",MI,1210004.4
1584,"CONYERS, JOHN",MI,61247.72
1585,"GAY-DAGNOGO, SHERRY J",MI,326238.22
1586,"ROBERSON, PORTIA",MI,563033.29
1587,"RUTLEDGE, LORRIE",MI,8410.09
1588,"MCPHAIL, SHARON",MI,74810.21
1589,"MCINTOSH, ANGELA E MS",MI,100.0
1590,"RIDDLE, SAMUEL LEWIS JR",MI,8155.0
1591,"CONYERS, JOHN JR.",MI,2541.0
1592,"JONES, BRENDA",MI,6135.0
1593,"BIVINGS, MARTELL DE'ANGELO",MI,104534.09
1594,"EASON, DONALD",MI,0.0
1595,"LAWRENCE, BRENDA LULENAR",MI,345373.53
1596,"PETERS, GARY",MI,937825.02
1597,"PATRICK, ROBERT VANCE",MI,150.0
1598,"JENSEN, VICKI",MN,0.0
1599,"HAGEDORN, JAMES",MN,1067781.72
1600,"MUNSON, JEREMY",MN,405123.46
1601,"BENDA, MATTHEW L.",MN,243137.84
1602,"KOCINA, KEVIN",MN,28476.0
1603,"FINSTAD, BRAD",MN,1491662.1
1604,"CARNAHAN, JENNIFER",MN,498488.82
1605,"NAVITSKY, KEN",MN,0.0
1606,"PIERSON, NELS MR",MN,117505.0
1607,"BRAKEBILL-HACKE, SARAH MS.",MN,6635.85
1608,"PAINTER, RICHARD WILLIAM",MN,50383.41
1609,"ETTINGER, JEFFREY M.",MN,2521574.82
1610,"DEVOE, RICK",MN,49067.48
1611,"RAINWATER, JAMES",MN,0.0
1612,"FEEHAN, DANIEL",MN,53514.17
1613,"CRAIG, ANGELA DAWN",MN,8681547.1
1614,"KISTNER, TYLER",MN,3302511.08
1615,"GERSON, DAVID ADAM",MN,0.0
1616,"LEWIS, JASON MARK MR.",MN,0.0
1617,"MYHRA, PAMELA J",MN,485.84
1618,"LAWRENCE, MARY",MN,24534.05
1619,"OVERBY, PAULA MIRARE",MN,2.06
1620,"OLSON, RICHARD THOMAS",MN,36038.97
1621,"QUALLS, KENDALL",MN,61379.45
1622,"WEILER, TOM",MN,668472.35
1623,"SCHWARZE, ADAM NOEL",MN,63642.76
1624,"BRAXILL, MARK",MN,168372.0
1625,"PHILLIPS, DEAN",MN,2230316.39
1626,"MCCOLLUM, BETTY",MN,1971610.21
1627,"LO, SIA",MN,4242.38
1628,"MURRAY, MIKKI M",MN,3200.71
1629,"LOR XIONG, MAY",MN,133467.1
1630,"BADHASSO, AMANE",MN,866284.46
1631,"OMAR, ILHAN",MN,3089066.58
1632,"JOHNSON, LACY",MN,68972.2
1633,"AL-AQIDI, DALIA",MN,250.44
1634,"DAVIS, CICELY",MN,3179668.86
1635,"WHITE, ROYCE ALEXANDER MR",MN,367039.34
1636,"MELTON-MEAUX, ANTONE",MN,110944.37
1637,"SAMUELS, DON MR.",MN,1290781.41
1638,"KERN, ALIENA JEANENE",MN,177.38
1639,"EMMER, THOMAS EARL JR.",MN,4141758.79
1640,"BACHMANN, MICHELE",MN,132139.06
1641,"ZAHRADKA, TAWNJA",MN,0.0
1642,"HENDRICKS, JEANNE",MN,204465.82
